"Dataset","Site","River","Year","Month","Julian_Day","Temperature","Conductivity","Larval_Length","Membrane_Ave","Membrane_SD","Membrane_CV","Yolk_to_Membrane_Ratio","Yolk_Ave","Yolk_SD","Yolk_CV","Egg_Stage","Compact_Diffuse","Pigment","Sticky_Debris","Deflated","Genus","Common_Name","Family_ACGC","Genus_ACGC","Common_Name_ACGC"
"original","MTH","IAR",2015,6,162,26,563,0,1.31047125,0.087023531,0.066406288,0.868808835,1.138549,0.104403233,0.091698498,"5","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","CON","CDR",2014,5,127,15.2,516,4.316389,1.62997225,0.065544882,0.040212269,0.937712897,1.528446,0.143234217,0.093712318,"8","C","Y","Y","N","Sander","Walleye","Percidae","Sander","Walleye"
"original","CON","CDR",2014,5,148,23.4,465,0,2.350697,0.301261062,0.128158186,0.670547608,1.57625425,0.2065117,0.131014207,"4","C","N","Y","Y","Macrhybopsis","Silver Chub","Cyprinidae","Macrhybopsis","Silver Chub"
"original","UPE","IAR",2014,5,127,16.1,562,0,1.87709375,0.023503055,0.012520981,1,1.87709375,0.023503055,0.012520981,"D","D","N","Y","N","Ictiobus","Buffalo sp.","Catostomidae","Ictiobus","Buffalo sp."
"original","DND","UMR",2014,6,163,22.7,357,0,2.68333775,0.182910057,0.068165126,0.815266546,2.1876355,0.148874853,0.06805286,"4","C","N","Y","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"original","UPE","IAR",2014,6,156,25.3,584,0,1.38835575,0.060479171,0.043561725,0.731914191,1.016157275,0.045277201,0.044557277,"4","C","N","Y","Y","Notropis","Channel Shiner","Cyprinidae","Notropis","Channel Shiner"
"original","CON","CDR",2014,6,156,24.1,486,1.165174,2.1266345,0.284078078,0.133581054,0.40203548,0.854982523,0.05852754,0.068454662,"7","C","N","Y","Y","Morone","Striped Bass","Moronidae","Morone","Striped Bass"
"original","MTH","IAR",2015,6,162,26,563,2.262387,1.35309925,0.16669224,0.123192915,0.746357021,1.009895125,0.128904915,0.127641883,"7","C","N","Y","Y","Notropis","Channel Shiner","Cyprinidae","Notropis","Channel Shiner"
"original","EDD","DSM",2015,6,161,23.1,654,0,2.88717475,0.102150152,0.035380661,0.423064451,1.221461,0.05441578,0.044549748,"6","C","N","N","Y","Macrhybopsis","Silver Chub","Cyprinidae","Macrhybopsis","Silver Chub"
"original","MTH","DSM",2015,5,151,19.2,674,0,2.9991215,0.375706112,0.125272055,0.468316889,1.40453925,0.051063079,0.036355751,"3","C","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","EDD","DSM",2015,6,161,23.1,654,0,2.542596,0.39384534,0.154898906,1,2.542596,0.39384534,0.154898906,"D","D","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","DNI","UMR",2015,6,172,23.8,443,2.060697,1.61477975,0.013148526,0.008142613,0.703055479,1.13527975,0.141155656,0.124335571,"8","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","DNI","UMR",2015,6,172,23.8,443,2.270447,1.703822,0.018402985,0.010801002,0.581332352,0.99048685,0.066451252,0.067089485,"8","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","KQA","DSM",2015,6,161,24.8,633,0,3.02564925,0.429393183,0.1419177,0.447883541,1.3551385,0.096381106,0.071122698,"6","C","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","DNI","UMR",2014,5,127,12.8,274,0,1.85452475,0.131706135,0.071018807,1,1.85452475,0.131706135,0.071018807,"D","D","N","Y","N","Ictiobus","Buffalo sp.","Catostomidae","Ictiobus","Buffalo sp."
"original","MTH","DSM",2015,5,151,19.2,674,0,3.728477,0.412116206,0.11053205,0.449027512,1.67418875,0.265593527,0.158640133,"3","C","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","CON","CDR",2014,6,156,24.1,486,2.073671,1.315199,0.259459255,0.197277564,0.782987346,1.029784175,0.125923404,0.122281355,"7","C","N","Y","Y","Morone","Striped Bass","Moronidae","Morone","Striped Bass"
"original","CON","CDR",2014,5,148,23.4,465,0,1.75864475,0.324117028,0.184299318,0.631461357,1.1105162,0.107157622,0.096493525,"4","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","DNE","IAR",2015,5,144,18.3,526,0,1.876077,0.13302512,0.070906002,0.470765579,0.883192475,0.036991343,0.041883671,"4","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","CON","CDR",2015,5,144,18.4,561,0,2.039649,0.281296045,0.137913948,0.473635096,0.96604935,0.126810788,0.131267401,"5","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","DNE","IAR",2015,6,152,22.2,596,0,1.4449805,0.138462822,0.095823315,0.892715334,1.28995625,0.0762187,0.059086268,"4","C","N","Y","Y","Notropis","River Shiner","Cyprinidae","Notropis","River Shiner"
"original","CON","CDR",2014,5,148,23.4,465,0,1.17671975,0.082842709,0.070401392,0.895088232,1.053268,0.061216487,0.058120523,"D","D","Y","N","N","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","DNI","UMR",2014,6,156,24.3,312,0,2.86629725,0.250920571,0.087541713,0.324507699,0.930135525,0.030886433,0.03320638,"6","C","N","N","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","DNE","IAR",2015,7,192,24,531,0,1.1861805,0.132017022,0.111295897,0.93980994,1.114784225,0.103337628,0.092697426,"4","C","N","Y","Y","Notropis","River Shiner","Cyprinidae","Notropis","River Shiner"
"original","CON","CDR",2014,6,156,24.1,486,0,1.45223375,0.404522373,0.278551833,0.756854243,1.099129275,0.050525113,0.045968308,"4","C","N","Y","Y","Morone","Striped Bass","Moronidae","Morone","Striped Bass"
"original","MTH","IAR",2015,5,133,17.1,553,0,1.37378875,0.123467933,0.089874031,0.913525096,1.2549905,0.137934038,0.109908432,"4","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","MTH","DSM",2015,5,151,19.2,674,0,4.05306425,0.204933783,0.050562678,0.828594069,3.358345,0.228455878,0.068026328,"D","D","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","DNI","UMR",2014,8,227,25.3,440,2.056331,1.248899,0.026239617,0.021010199,0.812903185,1.015233975,0.079140171,0.077952643,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","IAR",2015,5,133,17.1,553,0,3.5965675,0.096402178,0.02680394,0.381669814,1.37270125,0.092206127,0.0671713,"6","C","N","N","Y","Macrhybopsis","Silver Chub","Cyprinidae","Macrhybopsis","Silver Chub"
"original","DND","UMR",2014,5,147,19.9,332,0,3.31715475,0.688693915,0.207615854,0.465362447,1.54367925,0.382391942,0.247714635,"4","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"original","MTH","DSM",2014,5,147,23.3,494,0,1.68218625,0.007798185,0.004635744,0.668993847,1.12537225,0.108596836,0.096498591,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","IAR",2015,5,143,20.5,526,0,1.28019375,0.109392802,0.085450192,0.733315797,0.9387863,0.052922313,0.05637312,"4","C","N","Y","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"original","MTH","DSM",2014,7,210,25.4,480,2.100473,1.4875265,0.009875475,0.006638857,0.811497476,1.207124,0.12324975,0.102101979,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","DSM",2014,5,147,23.3,494,0,1.632204,0.034526152,0.021153086,0.669541001,1.0928275,0.04983349,0.045600509,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","IAR",2015,7,211,28.3,494,1.964308,1.36513225,0.078274466,0.057338376,0.884216529,1.2070725,0.074055415,0.061351257,"7","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","MTH","SKK",2014,6,172,24.9,373,0,1.4236255,0.051542103,0.036204819,0.803619351,1.144053,0.03864714,0.0337809,"4","C","Y","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","DSM",2014,5,147,23.3,494,0,1.621311,0.014522427,0.008957212,0.665405465,1.0788292,0.12959409,0.120124752,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","IAR",2015,8,232,21.4,472,0,1.80958975,0.136167066,0.075247479,0.51808164,0.937515225,0.054062427,0.057665652,"5","C","N","N","Y","Macrhybopsis","Speckled Chub","Cyprinidae","Macrhybopsis","Speckled Chub"
"original","DND","UMR",2014,5,147,19.9,332,0,1.50860025,0.292895504,0.194150508,0.793756829,1.19746175,0.369807487,0.308826137,"BROKEN","C","N","Y","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","MTH","IAR",2014,5,148,22.8,487,0,1.48771225,0.00682552,0.00458793,0.811693256,1.207566,0.083569951,0.069205287,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPE","IAR",2015,5,144,18.5,524,0,1.25843,0.031602676,0.02511278,0.71548638,0.900389525,0.034670324,0.038505917,"4","C","N","N","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"original","UPE","IAR",2015,6,152,22.3,599,0,1.52449775,0.091021952,0.05970619,0.690631636,1.052866375,0.195170256,0.185370395,"4","C","N","Y","Y","Notropis","River Shiner","Cyprinidae","Notropis","River Shiner"
"original","DND","UMR",2014,5,147,19.9,332,0,2.29183625,0.388861542,0.169672481,0.727113575,1.66642525,0.217901135,0.130759621,"BROKEN","C","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","DNC","SKK",2015,6,173,22.8,506,0,1.636669,0.04205203,0.025693668,1,1.636669,0.04205203,0.025693668,"D","D","N","Y","N","Carpiodes","River Carpsucker","Catostomidae","Carpiodes","River Carpsucker"
"original","MTH","IAR",2014,5,148,22.8,487,0,1.44033825,0.128687658,0.089345442,0.805403349,1.16005325,0.084832547,0.073128149,"4","C","Y","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","SKK",2015,6,180,21.8,391,0,3.3853335,0.095577947,0.028232949,0.339245232,1.14845825,0.036147736,0.031475011,"4","C","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","DNE","IAR",2014,6,156,25.3,582,1.770562,1.17281575,0.052761892,0.044987366,0.812652286,0.9530914,0.039878224,0.041840923,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","CON","CDR",2014,6,156,24.1,486,0,1.36010375,0.010673024,0.007847213,0.75321152,1.024445813,0.095460676,0.093182748,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","DND","UMR",2015,5,142,19.3,431,0,1.35295025,0.010809059,0.007989251,1,1.35295025,0.010809059,0.007989251,"D","D","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPI","UMR",2014,7,209,24.7,522,0,1.360282,0.130815288,0.096167771,0.813051393,1.105979175,0.092729875,0.083844142,"5","C","Y","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","DSM",2014,5,147,23.3,494,0,1.5318945,0.01746757,0.011402593,1,1.5318945,0.01746757,0.011402593,"D","D","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","DNI","UMR",2014,6,172,25.4,393,3.843526,2.60147225,0.296264433,0.113883372,0.751291821,1.954464825,0.712618686,0.364610648,"7","C","N","Y","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"original","MTH","DSM",2014,5,147,23.3,494,0,1.38035025,0.034104925,0.024707443,0.807956712,1.11526325,0.04453722,0.039934266,"5","C","Y","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","DNI","UMR",2014,6,172,25.4,393,2.979102,3.05124375,0.719585502,0.235833503,0.588357412,1.795221875,0.750892968,0.418273072,"7","C","N","Y","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","MTH","DSM",2015,5,151,19.2,674,0,3.52884225,0.103951145,0.029457578,0.420308814,1.4832035,0.055467965,0.037397407,"3","C","N","Y","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","MTH","IAR",2014,5,148,22.8,487,0,1.598056,0.268247765,0.167858802,0.690837023,1.10399625,0.041672064,0.037746563,"4","C","N","N","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","DNI","UMR",2015,4,113,12.7,357,0,1.90120275,0.033200765,0.017463032,0.897329072,1.7060045,0.042896128,0.025144206,"3","C","N","N","N","Sander","Walleye","Percidae","Sander","Walleye"
"original","MTH","IAR",2014,8,236,25.5,498,0,1.364618,0.136421496,0.099970465,0.582630817,0.7950685,0.075705842,0.09521927,"6","C","N","Y","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"original","KQA","DSM",2014,6,154,26.1,498,0,4.08438925,0.110920509,0.027157184,0.337280476,1.37758475,0.228679356,0.166000208,"6","C","N","N","Y","Pimephales","Fathead Minnow","Cyprinidae","Pimephales","Fathead Minnow"
"original","DNI","UMR",2015,5,143,19.5,425,0,1.5209435,0.126426024,0.083123419,0.653674775,0.9942024,0.028356174,0.02852153,"4","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","DNI","UMR",2015,6,152,21.3,457,0,1.2389045,0.168835506,0.136278064,0.706610659,0.875423125,0.027385076,0.031282102,"4","C","N","N","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","DNI","UMR",2015,6,180,23.6,404,0,2.196613,0.138973435,0.063267146,0.46234463,1.015592225,0.076348069,0.075175909,"6","C","N","Y","Y","Macrhybopsis","Speckled Chub","Cyprinidae","Macrhybopsis","Speckled Chub"
"original","UPI","UMR",2014,8,236,26.3,432,0,1.42539675,0.131907992,0.092541246,0.773213668,1.10213625,0.076646735,0.069543793,"6","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","CON","CDR",2015,7,211,27.1,468,2.313674,2.166663,0.284201025,0.131169926,0.444650679,0.963408175,0.116958722,0.121401006,"8","C","N","Y","Y","Macrhybopsis","Silver Chub","Cyprinidae","Macrhybopsis","Silver Chub"
"original","DNS","UMR",2015,5,151,20.7,461,0,2.1953155,0.606538696,0.276287712,0.466917648,1.02503155,0.099589118,0.097157125,"6","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","UPI","UMR",2014,8,236,26.3,432,0,1.37507975,0.197429397,0.143576689,0.834886667,1.14803575,0.114258639,0.099525332,"5","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","DNS","UMR",2015,7,202,27.6,467,0,1.33995925,0.027277257,0.020356781,1,1.33995925,0.027277257,0.020356781,"D","D","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPD","UMR",2015,6,161,24.7,397,0,1.28411625,0.096820376,0.075398451,0.777702661,0.998660625,0.032560473,0.032604142,"D","D","Y","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","DSM",2015,6,181,23.8,470,2.509873,2.7257235,0.239928887,0.088023927,0.485412497,1.32310025,0.178693636,0.135056762,"7","C","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","DNC","SKK",2015,8,222,23.4,401,0,1.584554,0.168290012,0.106206549,0.643779417,1.02010325,0.113009908,0.110782813,"4","C","N","Y","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","UPI","UMR",2015,5,133,17.8,448,0,1.59955375,0.01459911,0.009126989,0.842240844,1.3472095,0.047820936,0.035496287,"4","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPI","UMR",2015,6,162,25,341,0,1.28508225,0.017299019,0.01346141,0.8633782,1.109512,0.03395225,0.030601066,"D","D","Y","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPI","UMR",2015,8,222,26.7,397,0,1.25097325,0.015078947,0.012053773,0.930404987,1.16391175,0.056473998,0.048520859,"D","D","N","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPI","UMR",2015,8,232,24.7,406,1.619637,1.98953775,0.050731761,0.02549927,0.461233445,0.91764135,0.180727267,0.196947606,"8","C","N","N","Y","Notropis","River Shiner","Cyprinidae","Notropis","River Shiner"
"original","UPS","UMR",2015,5,133,18.1,447,0,1.708492,0.066376202,0.038850754,0.7757878,1.32542725,0.05325028,0.040175936,"4","C","N","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","CON","CDR",2015,6,172,24.5,583,0,1.50069675,0.037281515,0.024842804,1,1.50069675,0.037281515,0.024842804,"D","D","N","Y","N","Carpiodes","River Carpsucker","Catostomidae","Carpiodes","River Carpsucker"
"original","MTH","IAR",2014,5,148,22.8,487,0,2.106765,0.059180004,0.028090463,0.42295326,0.891063125,0.014008087,0.015720644,"4","C","N","N","N","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","UPS","UMR",2015,7,191,23.7,460,0,1.42335325,0.026469179,0.018596353,0.788211377,1.121903225,0.101098893,0.090113738,"4","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPS","UMR",2015,6,161,25.2,376,0,1.40934875,0.128659521,0.091290052,0.676810548,0.9538621,0.105577865,0.110684621,"4","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","CON","CDR",2015,5,132,17.4,563,0,1.42438725,0.087604818,0.061503511,0.740597931,1.05489825,0.031972188,0.030308314,"4","C","N","Y","Y","Notropis","River Shiner","Cyprinidae","Notropis","River Shiner"
"original","CLF","DSM",2015,6,181,23.8,590,0,1.3909065,0.01579816,0.011358175,0.826907848,1.1501515,0.075638111,0.065763607,"2","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","CLF","DSM",2015,6,181,23.8,590,0,3.5896825,0.355891346,0.099142848,0.38823336,1.3936345,0.117530226,0.084333608,"1","C","N","Y","Y","Macrhybopsis","Silver Chub","Cyprinidae","Macrhybopsis","Silver Chub"
"original","EDD","DSM",2015,5,140,16.9,706,0,1.3175435,0.023540785,0.017867178,0.958540268,1.2629185,0.029910248,0.023683435,"D","D","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","DSM",2014,6,155,24.7,457,0,1.33086675,0.015440487,0.011601828,0.812040706,1.080717975,0.026810326,0.024807884,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
